filename,path,imported_by,calls_into,called_by_prod,category
phase1_continuous_execution_system_v0_2_0_fixed_terminal_dedup.py,scripts/prod/phase1_continuous_execution_system_v0_2_0_fixed_terminal_dedup.py,0,1,yes,prod
02_85_build_context_snapshot_v0_1_0.py,scripts/prod/02_85_build_context_snapshot_v0_1_0.py,0,0,no,prod
03_01_run_playbook_generation_v0_1_1_real_retrieval.py,scripts/prod/03_01_run_playbook_generation_v0_1_1_real_retrieval.py,0,0,no,prod
06_08_qa_enforcement_gate_canonical_v0_2_0.py,scripts/prod/06_08_qa_enforcement_gate_canonical_v0_2_0.py,0,0,no,prod
phase1_direct_cve_runner.py,scripts/prod/phase1_direct_cve_runner.py,1,0,yes,prod
phase1_single_cve_continuous_runner.py,scripts/prod/phase1_single_cve_continuous_runner.py,0,0,no,prod
production_selector_opensearch_first.py,scripts/prod/production_selector_opensearch_first.py,0,0,no,prod
run_production_chain_opensearch_first.py,scripts/prod/run_production_chain_opensearch_first.py,0,0,no,prod
time_utils.py,scripts/prod/time_utils.py,1,0,yes,prod
update_schema_for_diagnostics.py,scripts/prod/update_schema_for_diagnostics.py,0,0,no,prod
playbook_agent.py,src/agents/playbook_agent.py,0,0,no,prod
__init__.py,src/data/__init__.py,0,0,no,prod
__init__.py,src/data/repositories/__init__.py,0,7,no,prod
approved_playbooks_repo.py,src/data/repositories/approved_playbooks_repo.py,1,0,no,prod
context_repo.py,src/data/repositories/context_repo.py,1,0,no,prod
generation_repo.py,src/data/repositories/generation_repo.py,1,0,no,prod
prompt_repo.py,src/data/repositories/prompt_repo.py,1,0,no,prod
qa_repo.py,src/data/repositories/qa_repo.py,1,0,no,prod
queue_repo.py,src/data/repositories/queue_repo.py,1,0,no,prod
retrieval_repo.py,src/data/repositories/retrieval_repo.py,1,0,no,prod
__init__.py,src/generation/__init__.py,0,0,no,prod
__init__.py,src/orchestration/__init__.py,0,0,no,prod
__init__.py,src/qa/__init__.py,0,0,no,prod
enforcement_engine.py,src/qa/enforcement_engine.py,0,0,no,prod
evidence_collector.py,src/retrieval/evidence_collector.py,0,2,no,prod
opensearch_client.py,src/retrieval/opensearch_client.py,0,0,no,prod
prompt_input_builder.py,src/retrieval/prompt_input_builder.py,0,0,no,prod
vulnstrike_db_client.py,src/retrieval/vulnstrike_db_client.py,1,0,no,prod
__init__.py,src/utils/__init__.py,0,0,no,prod
db.py,src/utils/db.py,0,0,no,prod
generation_diagnostics.py,src/utils/generation_diagnostics.py,0,0,no,prod
llm_client.py,src/utils/llm_client.py,0,0,no,prod
opensearch_client.py,src/utils/opensearch_client.py,1,0,no,prod
playbook_parser.py,src/utils/playbook_parser.py,0,0,no,prod
playbook_parser_old.py,src/utils/playbook_parser_old.py,0,0,no,prod
qa_evaluator.py,src/utils/qa_evaluator.py,0,0,no,prod
qa_evaluator_canonical.py,src/utils/qa_evaluator_canonical.py,0,0,no,prod
canonical_validator.py,src/validation/canonical_validator.py,1,0,no,prod
storage_guard.py,src/validation/storage_guard.py,0,1,no,prod
01_01_seed_playbook_engine_v0_1_0.py,scripts/dev_diagnostics/01_01_seed_playbook_engine_v0_1_0.py,0,0,no,dev_diagnostics
02_01_test_prompt_creation_v0_1_0.py,scripts/dev_diagnostics/02_01_test_prompt_creation_v0_1_0.py,0,0,no,dev_diagnostics
03_00_run_playbook_generation_canonical_v0_1_0.py,scripts/dev_diagnostics/03_00_run_playbook_generation_canonical_v0_1_0.py,0,0,no,dev_diagnostics
03_00_run_playbook_generation_v0_1_0.py,scripts/dev_diagnostics/03_00_run_playbook_generation_v0_1_0.py,0,0,no,dev_diagnostics
03_00_run_playbook_generation_vector_v0_1_0.py,scripts/dev_diagnostics/03_00_run_playbook_generation_vector_v0_1_0.py,0,0,no,dev_diagnostics
04_00_pipeline_validator_v0_1_0.py,scripts/dev_diagnostics/04_00_pipeline_validator_v0_1_0.py,0,0,no,dev_diagnostics
05_01_sql_proof_v0_2_1_fix.py,scripts/dev_diagnostics/05_01_sql_proof_v0_2_1_fix.py,0,0,no,dev_diagnostics
05_02_project_dump_v0_1_0.py,scripts/dev_diagnostics/05_02_project_dump_v0_1_0.py,0,0,no,dev_diagnostics
05_03_test_db_v0_1_1.py,scripts/dev_diagnostics/05_03_test_db_v0_1_1.py,0,0,no,dev_diagnostics
05_04_test_vector_run_proof_v0_1_0.py,scripts/dev_diagnostics/05_04_test_vector_run_proof_v0_1_0.py,0,0,no,dev_diagnostics
06_01_add_retrieval_run_id_to_generation_runs.py,scripts/dev_diagnostics/06_01_add_retrieval_run_id_to_generation_runs.py,0,0,no,dev_diagnostics
06_01_create_improved_template_v1_1_0.py,scripts/dev_diagnostics/06_01_create_improved_template_v1_1_0.py,0,0,no,dev_diagnostics
06_01b_create_improved_template_simple.py,scripts/dev_diagnostics/06_01b_create_improved_template_simple.py,0,0,no,dev_diagnostics
06_01c_create_improved_template_fixed.py,scripts/dev_diagnostics/06_01c_create_improved_template_fixed.py,0,0,no,dev_diagnostics
06_02_test_improved_prompt.py,scripts/dev_diagnostics/06_02_test_improved_prompt.py,0,0,no,dev_diagnostics
06_02_update_canonical_components_v0_1_0.py,scripts/dev_diagnostics/06_02_update_canonical_components_v0_1_0.py,0,0,no,dev_diagnostics
06_03_compare_prompts_before_after.py,scripts/dev_diagnostics/06_03_compare_prompts_before_after.py,0,0,no,dev_diagnostics
06_07_qa_enforcement_gate_v0_1_0.py,scripts/dev_diagnostics/06_07_qa_enforcement_gate_v0_1_0.py,0,0,no,dev_diagnostics
06_07a_list_missing_cve_candidates_v0_1_0.py,scripts/dev_diagnostics/06_07a_list_missing_cve_candidates_v0_1_0.py,0,0,no,dev_diagnostics
06_07b_select_next_missing_cve_v0_1_0.py,scripts/dev_diagnostics/06_07b_select_next_missing_cve_v0_1_0.py,0,0,no,dev_diagnostics
06_09_batch_canonical_processor_v0_1_0.py,scripts/dev_diagnostics/06_09_batch_canonical_processor_v0_1_0.py,0,0,no,dev_diagnostics
06_30_parse_playbooks_to_canonical_v0_1_0.py,scripts/dev_diagnostics/06_30_parse_playbooks_to_canonical_v0_1_0.py,0,0,no,dev_diagnostics
06_61_update_queue_selector_v0_1_0.py,scripts/dev_diagnostics/06_61_update_queue_selector_v0_1_0.py,0,0,no,dev_diagnostics
06_62_insert_canonical_template_v0_1_0.py,scripts/dev_diagnostics/06_62_insert_canonical_template_v0_1_0.py,0,1,no,dev_diagnostics
99_01_acceptance_harness_group2_v0_1_0.py,scripts/dev_diagnostics/99_01_acceptance_harness_group2_v0_1_0.py,0,0,no,dev_diagnostics
add_real_cves_to_queue.py,scripts/dev_diagnostics/add_real_cves_to_queue.py,0,0,no,dev_diagnostics
audit_generation_run_30.py,scripts/dev_diagnostics/audit_generation_run_30.py,0,0,no,dev_diagnostics
canonical_qa_alignment_report.py,scripts/dev_diagnostics/canonical_qa_alignment_report.py,0,0,no,dev_diagnostics
capture_live_outputs.py,scripts/dev_diagnostics/capture_live_outputs.py,0,0,no,dev_diagnostics
create_context_snapshot.py,scripts/dev_diagnostics/create_context_snapshot.py,0,0,no,dev_diagnostics
create_real_generation_run.py,scripts/dev_diagnostics/create_real_generation_run.py,0,0,no,dev_diagnostics
create_real_generation_run_fixed.py,scripts/dev_diagnostics/create_real_generation_run_fixed.py,0,0,no,dev_diagnostics
create_test_generation_run.py,scripts/dev_diagnostics/create_test_generation_run.py,0,0,no,dev_diagnostics
final_approved_test.py,scripts/dev_diagnostics/final_approved_test.py,0,0,no,dev_diagnostics
final_real_cve_canonical_proof.py,scripts/dev_diagnostics/final_real_cve_canonical_proof.py,0,0,no,dev_diagnostics
final_real_cve_proof.py,scripts/dev_diagnostics/final_real_cve_proof.py,0,0,no,dev_diagnostics
frozen_validation_fixed.py,scripts/dev_diagnostics/frozen_validation_fixed.py,0,0,no,dev_diagnostics
frozen_validation_simple.py,scripts/dev_diagnostics/frozen_validation_simple.py,0,0,no,dev_diagnostics
frozen_validation_v1_0_0.py,scripts/dev_diagnostics/frozen_validation_v1_0_0.py,0,0,no,dev_diagnostics
generate_real_canonical_playbook.py,scripts/dev_diagnostics/generate_real_canonical_playbook.py,0,0,no,dev_diagnostics
postgres_benchmark_v1_0_0.py,scripts/dev_diagnostics/postgres_benchmark_v1_0_0.py,0,0,no,dev_diagnostics
process_real_cve_end_to_end.py,scripts/dev_diagnostics/process_real_cve_end_to_end.py,0,0,no,dev_diagnostics
qa_canonical_wrapper.py,scripts/dev_diagnostics/qa_canonical_wrapper.py,0,0,no,dev_diagnostics
quick_live_test.py,scripts/dev_diagnostics/quick_live_test.py,0,0,no,dev_diagnostics
run_queue_integration_proof.py,scripts/dev_diagnostics/run_queue_integration_proof.py,0,0,no,dev_diagnostics
step1_capture_raw.py,scripts/dev_diagnostics/step1_capture_raw.py,0,0,no,dev_diagnostics
step2_tightened_prompt.py,scripts/dev_diagnostics/step2_tightened_prompt.py,0,0,no,dev_diagnostics
step3_rejection_layer.py,scripts/dev_diagnostics/step3_rejection_layer.py,0,0,no,dev_diagnostics
step4_full_pipeline_test.py,scripts/dev_diagnostics/step4_full_pipeline_test.py,0,0,no,dev_diagnostics
test_canonical_qa_alignment.py,scripts/dev_diagnostics/test_canonical_qa_alignment.py,0,0,no,dev_diagnostics
test_generation_persistence_fix.py,scripts/dev_diagnostics/test_generation_persistence_fix.py,0,0,no,dev_diagnostics
test_idempotency_check.py,scripts/dev_diagnostics/test_idempotency_check.py,0,0,no,dev_diagnostics
test_minimal_prompt.py,scripts/dev_diagnostics/test_minimal_prompt.py,0,0,no,dev_diagnostics
test_real_cve_selection.py,scripts/dev_diagnostics/test_real_cve_selection.py,0,0,no,dev_diagnostics
test_real_cve_selection_simple.py,scripts/dev_diagnostics/test_real_cve_selection_simple.py,0,0,no,dev_diagnostics
verify_canonical_payload_integrity.py,scripts/dev_diagnostics/verify_canonical_payload_integrity.py,0,0,no,dev_diagnostics
verify_fix_demo.py,scripts/dev_diagnostics/verify_fix_demo.py,0,0,no,dev_diagnostics
00_01_verify_db_v0_1_1.py,scripts/ops/00_01_verify_db_v0_1_1.py,0,0,no,tools
00_02_init_db_v0_1_1.py,scripts/ops/00_02_init_db_v0_1_1.py,0,0,no,tools
02_50_discover_missing_playbooks_v0_1_0.py,scripts/ops/02_50_discover_missing_playbooks_v0_1_0.py,0,0,no,tools
02_60_enrich_cve_with_opensearch_v0_1_0.py,scripts/ops/02_60_enrich_cve_with_opensearch_v0_1_0.py,0,0,no,tools
02_70_dispatch_cve_to_generation_v0_1_0.py,scripts/ops/02_70_dispatch_cve_to_generation_v0_1_0.py,0,0,no,tools
02_80_select_next_cve_from_queue_v0_1_0.py,scripts/ops/02_80_select_next_cve_from_queue_v0_1_0.py,0,0,no,tools
02_90_process_one_queued_cve_v0_1_0.py,scripts/ops/02_90_process_one_queued_cve_v0_1_0.py,0,0,no,tools
04_01_validate_playbook_engine_run_v0_1_0.py,scripts/ops/04_01_validate_playbook_engine_run_v0_1_0.py,0,0,no,tools
05_05_prove_data_creation_v0_1_0.py,scripts/ops/05_05_prove_data_creation_v0_1_0.py,0,0,no,tools
05_06_prove_idempotent_processing_v0_1_0.py,scripts/ops/05_06_prove_idempotent_processing_v0_1_0.py,0,0,no,tools
05_07_prove_context_readiness_v0_1_0.py,scripts/ops/05_07_prove_context_readiness_v0_1_0.py,0,0,no,tools
add_cves_direct.py,add_cves_direct.py,0,0,no,tools
add_cves_direct_psycopg2.py,add_cves_direct_psycopg2.py,0,0,no,tools
add_cves_with_transaction.py,add_cves_with_transaction.py,0,0,no,tools
add_selected_cves_to_queue.py,add_selected_cves_to_queue.py,0,0,no,tools
analyze_deps.py,analyze_deps.py,0,0,no,tools
canonical_prompt_template_v1_2_0.py,canonical_prompt_template_v1_2_0.py,1,0,no,tools
check_queue.py,check_queue.py,0,0,no,tools
classify_scripts.py,classify_scripts.py,0,0,no,tools
debug_locks.py,debug_locks.py,0,0,no,tools
discover_fresh_cve.py,discover_fresh_cve.py,0,0,no,tools
final_verification copy.py,final_verification copy.py,0,1,no,archive
final_verification.py,final_verification.py,0,1,no,tools
improved_prompt_template.py,improved_prompt_template.py,0,0,no,tools
inspect_raw_response.py,inspect_raw_response.py,0,0,no,tools
phase1_selector_corrected.py,phase1_selector_corrected.py,4,0,yes,tools
run_production_verification.py,run_production_verification.py,0,0,no,tools
simple_verification.py,simple_verification.py,0,0,no,tools
step3_rejection_layer_20260409_215247.py,step3_rejection_layer_20260409_215247.py,0,0,no,tools
test_5cve_drain_run.py,test_5cve_drain_run.py,0,0,no,tools
test_continuous_system.py,test_continuous_system.py,0,0,no,tools
test_corrected_wiring.py,test_corrected_wiring.py,0,1,no,tools
test_debug_paths.py,test_debug_paths.py,0,0,no,tools
test_deduplication_diagnostics.py,test_deduplication_diagnostics.py,0,0,no,tools
test_fixes.py,test_fixes.py,0,0,no,tools
test_full_pipeline.py,test_full_pipeline.py,0,0,no,tools
test_path.py,test_path.py,0,0,no,tools
test_session_dedup_fix.py,test_session_dedup_fix.py,0,0,no,tools
__init__.py,tests/__init__.py,0,0,no,tools
debug_parser.py,tests/debug_parser.py,0,0,no,tools
__init__.py,tests/integration/__init__.py,0,0,no,tools
prompt_FineTuned_TuneWordCount_v.0002.py,tests/integration/llm-testing/prompt_FineTuned_TuneWordCount_v.0002.py,0,0,no,tools
prompt_simple_test_prompt_FineTuned_v.0001.py,tests/integration/llm-testing/prompt_simple_test_prompt_FineTuned_v.0001.py,0,0,no,tools
prompt_v00.04_actualPrompt_CVE-2020-11716.py,tests/integration/llm-testing/prompt_v00.04_actualPrompt_CVE-2020-11716.py,0,0,no,tools
prompt_v00.04_actualPrompt_CVE-2024-9313.py,tests/integration/llm-testing/prompt_v00.04_actualPrompt_CVE-2024-9313.py,0,0,no,tools
init_db_v0_1_0.py,tests/integration/llm-testing/scripts/init_db_v0_1_0.py,0,0,no,tools
test_db_connection.py,tests/integration/test_db_connection.py,0,0,no,tools
test_llm_connectivity.py,tests/integration/test_llm_connectivity.py,0,0,no,tools
test_llm_integration_v0_1_0.py,tests/integration/test_llm_integration_v0_1_0.py,0,0,no,tools
test_llm_real_generation_v0_1_0.py,tests/integration/test_llm_real_generation_v0_1_0.py,0,0,no,tools
test_opensearch_connectivity.py,tests/integration/test_opensearch_connectivity.py,0,0,no,tools
test_parser_qa_integration_v0_1_0.py,tests/integration/test_parser_qa_integration_v0_1_0.py,0,0,no,tools
verify_llm_api.py,tests/verify_llm_api.py,0,0,no,tools
update_template.py,update_template.py,0,0,no,tools
verify_queue.py,verify_queue.py,0,0,no,tools